ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,QTR_ID,MONTH_ID,YEAR_ID,MSRP,PHONE
10107,30,95.7,2,2871,1,2,2003,95,2125557818
10121,34,81.35,5,2765.9,2,5,2003,95,26.47.1555
10134,41,94.74,2,3884.34,3,7,2003,95,+33 1 46 62 7555
10145,45,83.26,6,3746.7,3,8,2003,95,6265557265
10159,49,100,14,5205.27,4,10,2003,95,6505551386
10168,36,96.66,1,3479.76,4,10,2003,95,6505556809
10180,29,86.13,9,2497.77,4,11,2003,95,20.16.1555
10188,48,100,1,5512.32,4,11,2003,95,+47 2267 3215
10201,22,98.57,2,2168.54,4,12,2003,95,6505555787
10211,41,100,14,4708.44,1,1,2004,95,(1) 47.55.6555
10223,37,100,1,3965.66,1,2,2004,95,03 9520 4555
10237,23,100,7,2333.12,2,4,2004,95,2125551500
10251,28,100,2,3188.64,2,5,2004,95,2015559350
10263,34,100,2,3676.76,2,6,2004,95,2035552570
10275,45,92.83,1,4177.35,3,7,2004,95,40.67.8555
10285,36,100,6,4099.68,3,8,2004,95,6175558555
10299,23,100,9,2597.39,3,9,2004,95,90-224 8555
10309,41,100,5,4394.38,4,10,2004,95,07-98 9555
10318,46,94.74,1,4358.04,4,11,2004,95,2155551555
10329,42,100,1,4396.14,4,11,2004,95,2125557818
10341,41,100,9,7737.93,4,11,2004,95,6562-9555
10361,20,72.55,13,1451,4,12,2004,95,+61 2 9495 8555
10375,21,34.91,12,733.11,1,2,2005,95,40.67.8555
10388,42,76.36,4,3207.12,1,3,2005,95,5085552555
10403,24,100,7,2434.56,2,4,2005,95,(171) 555-2282
10417,66,100,2,7516.08,2,5,2005,95,(91) 555 94 44
10103,26,100,11,5404.62,1,1,2003,214,07-98 9555
10112,29,100,1,7209.11,1,3,2003,214,0921-12 3555
10126,38,100,11,7329.06,2,5,2003,214,(91) 555 22 82
10140,37,100,11,7374.1,3,7,2003,214,6505556809
10150,45,100,8,10993.5,3,9,2003,214,+65 221 7555
10163,21,100,1,4860.24,4,10,2003,214,2125558493
10174,34,100,4,8014.82,4,11,2003,214,61-7-3844-6555
10183,23,100,8,5372.57,4,11,2003,214,2155554695
10194,42,100,11,7290.36,4,11,2003,214,78.32.5555
10206,47,100,6,9064.89,4,12,2003,214,(604) 555-3392
10215,35,100,3,6075.3,1,1,2004,214,3105553722
10228,29,100,2,6463.23,1,3,2004,214,6175555555
10245,34,100,9,6120.34,2,5,2004,214,2035559545
10258,32,100,6,7680.64,2,6,2004,214,+81 3 3584 0555
10270,21,100,9,4905.39,3,7,2004,214,+61 2 9495 8555
10280,34,100,2,8014.82,3,8,2004,214,011-4988555
10291,37,100,11,7136.19,3,9,2004,214,0695-34 6555
10304,47,100,6,10172.7,4,10,2004,214,30.59.8555
10312,48,100,3,11623.7,4,10,2004,214,4155551450
10322,40,100,1,6000.4,4,11,2004,214,6035558647
10333,26,100,3,3003,4,11,2004,214,6505555787
10347,30,100,1,3944.7,4,11,2004,214,03 9520 4555
10357,32,100,10,5691.84,4,12,2004,214,4155551450
10369,41,100,2,4514.92,1,1,2005,214,6175558555
10381,36,100,3,8254.8,1,2,2005,214,6505551386
10391,24,100,4,2416.56,1,3,2005,214,02 9936 8555
10411,23,100,9,4140.23,2,5,2005,214,(514) 555-8054
10424,50,100,6,12001,2,5,2005,214,(91) 555 94 44
10107,39,99.91,5,3896.49,1,2,2003,118,2125557818
10120,29,96.34,3,2793.86,2,4,2003,118,03 9520 4555
10134,27,100,5,3307.77,3,7,2003,118,+33 1 46 62 7555
10145,37,100,9,5192.95,3,8,2003,118,6265557265
10159,37,100,17,5016.83,4,10,2003,118,6505551386
10168,27,100,4,3660.93,4,10,2003,118,6505556809
10180,42,100,12,4695.6,4,11,2003,118,20.16.1555
10188,38,96.34,4,3660.92,4,11,2003,118,+47 2267 3215
10201,24,100,5,3025.92,4,12,2003,118,6505555787
10210,23,100,2,3009.09,1,1,2004,118,+81 06 6342 5555
10223,47,100,4,5422.39,1,2,2004,118,03 9520 4555
10236,22,100,1,2852.08,2,4,2004,118,2155559857
10251,44,100,5,5756.52,2,5,2004,118,2015559350
10263,40,100,5,4472,2,6,2004,118,2035552570
10275,22,100,4,2904.44,3,7,2004,118,40.67.8555
10285,47,100,9,6484.59,3,8,2004,118,6175558555
10298,39,96.34,1,3757.26,3,9,2004,118,40.32.2555
10308,34,100,2,4043.96,4,10,2004,118,9145554562
10318,45,100,4,5566.5,4,11,2004,118,2155551555
10329,20,100,2,3176,4,11,2004,118,2125557818
10339,40,68.92,4,2756.8,4,11,2004,118,+81 3 3584 0555
10361,26,51.15,8,1329.9,4,12,2004,118,+61 2 9495 8555
10374,39,100,5,5288.01,1,2,2005,118,61-7-3844-6555
10388,50,44.51,5,2225.5,1,3,2005,118,5085552555
10402,45,100,1,5833.8,2,4,2005,118,(1) 47.55.6555
10417,45,100,5,5887.35,2,5,2005,118,(91) 555 94 44
10107,27,100,4,6065.55,1,2,2003,193,2125557818
